,project_id,year_start,year_finish,sector,total_ammount,province,duration_days,status,region
0,1610,2019,2020,Water and Sewer,17872007.0,buenos aires,442,Finished,Buenos Aires
1,1613,2019,2021,Water and Sewer,7428947.0,buenos aires,470,Finished,Buenos Aires
2,1614,2019,2021,Water and Sewer,6390504.0,buenos aires,830,Finished,Buenos Aires
3,1615,2019,2021,Water and Sewer,11193140.0,buenos aires,690,Finished,Buenos Aires
4,1617,2022,2023,Water and Sewer,65554904.0,buenos aires,330,In progress,Buenos Aires
5,1618,2021,2022,Water and Sewer,19108311.0,buenos aires,385,Other,Buenos Aires
6,1620,2021,2022,Water and Sewer,39286906.0,buenos aires,270,In progress,Buenos Aires
7,1621,2021,2022,Water and Sewer,24805687.0,buenos aires,300,Other,Buenos Aires
8,1622,2021,2022,Water and Sewer,27962322.0,buenos aires,277,Finished,Buenos Aires
9,1624,2020,2021,Water and Sewer,15134607.0,buenos aires,231,Finished,Buenos Aires
10,1651,2016,2020,Water and Sewer,6873449.0,buenos aires,1284,Finished,Buenos Aires
11,1655,2021,2022,Water and Sewer,32176760.0,buenos aires,399,Finished,Buenos Aires
12,1656,2019,2021,Water and Sewer,4920442.0,buenos aires,700,Finished,Buenos Aires
13,1659,2018,2020,Water and Sewer,5529882.0,buenos aires,784,Finished,Buenos Aires
14,1662,2019,2021,Water and Sewer,6236387.0,buenos aires,544,Finished,Buenos Aires
15,1664,2019,2020,Water and Sewer,5186081.0,buenos aires,637,Finished,Buenos Aires
16,1665,2018,2020,Water and Sewer,2731248.0,buenos aires,841,Finished,Buenos Aires
17,1668,2020,2021,Water and Sewer,15794835.0,buenos aires,389,Finished,Buenos Aires
18,1671,2021,2022,Water and Sewer,19513279.0,buenos aires,517,Finished,Buenos Aires
19,1672,2019,2020,Water and Sewer,5109679.0,buenos aires,430,Finished,Buenos Aires
20,1673,2019,2020,Water and Sewer,6261380.0,buenos aires,378,Finished,Buenos Aires
21,1674,2019,2020,Water and Sewer,2519579.0,buenos aires,381,Finished,Buenos Aires
22,1675,2021,2021,Water and Sewer,6741248.0,buenos aires,125,Finished,Buenos Aires
23,1676,2021,2021,Water and Sewer,7658948.0,buenos aires,191,Finished,Buenos Aires
